序号,提交答卷时间,所用时间,来源,来源详情,1、投票列表：请尽量填入完整的中文动画标题。—印象深刻的年度动画（权重4）（必答）,1、想要推荐的精彩动画A（权重2）,1、想要推荐的精彩动画B（权重2）,1、值得一看的优秀动画A（权重1）,1、值得一看的优秀动画B（权重1）,2、我要更改投票权重分配逆天改命！,3、更改投票权重（总计10）：—年度动画,3、精彩动画A,3、精彩动画B,3、优秀动画A,3、优秀动画B,4、我要撰写评语发电！,5、动画瓶语：—年度动画,5、精彩动画A,5、精彩动画B,5、优秀动画A,5、优秀动画B
1,2024/1/23 17:44:17,163秒,手机提交,直接访问,我推的孩子,偶像大师 灰姑娘女孩u149,bangdream itsmygo！,咒术回战,(空),是,4,3,2,1,0,是,神中神！,神中神！,(空),(空),(空)
2,2024/1/23 17:48:17,191秒,手机提交,直接访问,咒术回战2,mygo！,fate 赝作黎明低语,u149,不当哥哥了！,是,4,2,1,1,2,是,啊啊啊啊啊啊啊哦哦哦哦哦哦啊啊,重い,すごい,可愛い,超可愛い
3,2024/1/23 18:45:32,65秒,手机提交,直接访问,Bangdream it'MYGO！！！！！,(空),(空),(空),(空),否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
4,2024/1/23 18:54:29,1341秒,手机提交,直接访问,你想活出怎样的人生,葬送的芙莉莲,天国大魔境,MyGO,别当欧尼酱了,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,宫崎骏老爷子要长寿啊，再多导几部吧,(空),(空),(空),(空)
5,2024/1/23 18:56:02,157秒,手机提交,直接访问,mygo,死神,100个超超超喜欢,芙莉莲,赫鲁库,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
6,2024/1/23 18:56:39,190秒,微信,,梦想大爆炸：这是我去,(空),(空),(空),(空),是,10,0,0,0,0,是,求求你再给我看一集吧，只要是我能做的我什么都愿意做,(空),(空),(空),(空)
7,2024/1/23 19:02:10,211秒,手机提交,直接访问,葬送的芙莉莲,别当欧尼酱了,bang dream it's mygo,天国大魔境,我心中危险的东西,否,(跳过),(跳过),(跳过),(跳过),(跳过),是,伟大，无需多言,兄弟，你好香,一辈子看mygo,我草，有牛，牛逼的牛,危门
8,2024/1/23 19:24:37,445秒,手机提交,直接访问,梆的一声，我该走了,马rttt,古利特宇宙,马里奥电影,梦幻工厂(冈片,否,(跳过),(跳过),(跳过),(跳过),(跳过),否,(跳过),(跳过),(跳过),(跳过),(跳过)
9,2024/1/23 19:34:24,560秒,手机提交,直接访问,我心中危险的东西,久保同学不放过我,香格里拉边境,(空),(空),是,8,1,0,0,1,是,卧槽还有比我心危更细腻的恋爱番／漫画了吗？？？？真的一举一动都是糖啊啊啊啊啊啊啊亚玛达桑，这部作品不怎么迎合大众的画风，但其用细腻精彩的剧情和两人互动间的小细节完全改变了我对画风的不满，睡前看一看，梦中笑嘻嘻,久保同学等了好久终于出动画了，高三周末回校下外卖必选,很精彩的mmo类型制作也很精良,(空),(空)
10,2024/1/23 20:33:46,115秒,手机提交,直接访问,布莱泽奥特曼,(空),(空),(空),(空),是,10,0,0,0,0,否,(跳过),(跳过),(跳过),(跳过),(跳过)
